N. ORD.;TRATTO;X (mm);Y (mm);DISTANZA (mm);TEMPO (msec);PRESSIONE (%);VELOCITA (mm/sec);ACCELERAZIONE (mm/sec^2)
1;1;16,77;27,64;0,00;0;45,06;0,0;0,0
2;1;16,60;27,81;0,24;5;52,10;48,1;9616,7
3;1;16,43;28,04;0,29;10;58,65;57,2;1823,6
4;1;16,28;28,32;0,32;15;63,83;63,5;1265,6
5;1;16,20;28,70;0,39;20;67,45;77,7;2827,3
6;1;16,18;29,11;0,41;25;69,89;82,1;886,3
7;1;16,27;29,57;0,47;30;71,46;93,7;2329,4
8;1;16,42;30,01;0,46;35;72,92;93,0;-154,2
9;1;16,67;30,44;0,50;40;74,10;99,5;1301,1
10;1;17,02;30,82;0,52;45;75,27;103,3;769,2
11;1;17,61;31,21;0,71;50;76,25;141,4;7625,0
12;1;18,40;31,47;0,83;55;76,74;166,3;4977,5
13;1;19,36;31,53;0,96;60;76,74;192,4;5207,5
14;1;20,43;31,34;1,09;65;76,74;217,3;4994,6
15;1;21,37;30,98;1,01;70;76,93;201,3;-3206,4
16;1;22,19;30,49;0,96;75;77,32;191,0;-2053,2
17;1;22,89;29,93;0,90;80;77,71;179,3;-2352,5
18;1;23,46;29,30;0,85;85;78,10;169,9;-1874,0
19;1;23,92;28,64;0,80;90;78,20;160,9;-1804,0
20;1;24,28;28,00;0,73;95;78,40;146,9;-2807,4
21;1;24,57;27,36;0,70;100;78,69;140,5;-1266,6
22;1;24,76;26,76;0,63;105;78,40;125,9;-2930,9
23;1;24,87;26,22;0,55;110;78,59;110,2;-3131,0
24;1;24,88;25,71;0,51;115;78,30;102,0;-1639,7
25;1;24,80;25,28;0,44;120;78,20;87,5;-2908,8
26;1;24,61;24,90;0,42;125;78,20;85,0;-501,0
27;1;24,32;24,58;0,43;130;78,01;86,4;280,1
28;1;23,94;24,31;0,47;135;77,81;93,2;1371,9
29;1;23,47;24,09;0,52;140;77,61;103,8;2111,5
30;1;22,94;23,95;0,55;145;77,22;109,6;1169,5
31;1;22,34;23,89;0,60;150;77,42;120,6;2192,5
32;1;21,70;23,91;0,64;155;77,52;128,1;1492,8
33;1;21,19;24,01;0,52;160;78,01;103,9;-4824,0
34;1;20,76;24,15;0,45;165;78,69;90,4;-2699,8
35;1;20,39;24,32;0,41;170;79,18;81,4;-1801,3
36;1;20,08;24,50;0,36;175;80,25;71,7;-1948,7
37;1;19,66;24,80;0,52;180;81,13;103,2;6306,8
38;1;19,22;25,19;0,59;185;82,50;117,6;2872,9
39;1;18,83;25,67;0,62;190;83,77;123,7;1220,1
40;1;18,52;26,24;0,65;195;84,75;129,8;1215,2
41;1;18,32;26,87;0,66;200;86,02;132,2;485,6
42;1;18,26;27,56;0,69;205;86,80;138,5;1264,8
43;1;18,34;28,28;0,72;210;87,29;144,9;1273,1
44;1;18,66;29,18;0,96;215;87,88;191,0;9230,6
45;1;19,22;30,11;1,09;220;87,78;217,1;5215,6
46;1;20,03;30,93;1,15;225;87,88;230,5;2680,7
47;1;21,07;31,52;1,20;230;87,98;239,1;1723,8
48;1;22,07;31,73;1,02;235;87,98;204,4;-6955,5
49;1;23,06;31,68;0,99;240;87,98;198,3;-1222,0
50;1;24,04;31,39;1,02;245;87,88;204,4;1229,8
51;1;24,96;30,96;1,02;250;87,78;203,1;-259,1
52;1;25,78;30,43;0,98;255;87,59;195,3;-1566,3
53;1;26,51;29,83;0,94;260;87,88;189,0;-1257,5
54;1;27,12;29,20;0,88;265;88,07;175,4;-2720,3
55;1;27,63;28,55;0,83;270;88,07;165,2;-2029,2
56;1;28,03;27,92;0,75;275;88,17;149,3;-3197,6
57;1;28,32;27,34;0,65;280;88,07;129,7;-3911,9
58;1;28,48;26,83;0,53;285;87,88;106,9;-4558,0
59;1;28,51;26,40;0,43;290;87,68;86,2;-4138,6
60;1;28,41;26,04;0,37;295;87,49;74,7;-2296,6
61;1;28,19;25,73;0,38;300;87,19;76,0;260,0
62;1;27,87;25,49;0,40;305;87,19;80,0;794,7
63;1;27,47;25,31;0,44;310;87,10;87,7;1545,4
64;1;27,02;25,19;0,47;315;86,80;93,1;1083,6
65;1;26,53;25,13;0,49;320;87,10;98,7;1117,4
66;1;26,02;25,14;0,51;325;87,29;102,0;657,5
67;1;25,52;25,24;0,51;330;87,78;102,0;-7,8
68;1;25,06;25,44;0,50;335;88,66;100,3;-332,2
69;1;24,67;25,75;0,50;340;88,86;99,6;-136,0
70;1;24,38;26,13;0,48;345;89,44;95,6;-807,2
71;1;24,22;26,57;0,47;350;90,03;93,6;-393,2
72;1;24,17;27,05;0,48;355;90,52;96,5;576,4
73;1;24,22;27,56;0,51;360;91,20;102,5;1193,9
74;1;24,36;28,09;0,55;365;91,59;109,6;1429,3
75;1;24,60;28,63;0,59;370;91,40;118,2;1710,1
76;1;24,92;29,16;0,62;375;91,50;123,8;1127,2
77;1;25,32;29,68;0,66;380;91,40;131,2;1477,5
78;1;25,80;30,15;0,67;385;91,40;134,4;629,6
79;1;26,35;30,51;0,66;390;91,59;131,5;-577,8
80;1;26,96;30,76;0,66;395;91,79;131,8;76,0
81;1;27,60;30,88;0,65;400;91,98;130,2;-323,6
82;1;28,25;30,89;0,65;405;92,28;130,0;-43,0
83;1;28,86;30,81;0,62;410;92,08;123,0;-1394,1
84;1;29,41;30,67;0,57;415;91,69;113,5;-1907,4
85;1;29,90;30,49;0,52;420;91,59;104,4;-1820,9
86;1;30,33;30,26;0,49;425;91,40;97,5;-1374,7
87;1;30,69;30,00;0,44;430;91,59;88,8;-1743,0
88;1;30,98;29,73;0,40;435;91,98;79,2;-1913,6
89;1;31,22;29,45;0,37;440;92,18;73,8;-1098,0
90;1;31,41;29,20;0,31;445;92,38;62,8;-2191,0
91;1;31,54;28,98;0,26;450;92,38;51,1;-2338,7
92;1;31,62;28,80;0,20;455;92,38;39,4;-2342,5
93;1;31,60;28,65;0,15;465;92,38;15,1;-2426,3
94;1;31,50;28,59;0,12;475;91,98;11,7;-347,1
95;1;31,33;28,64;0,18;485;91,69;17,7;605,8
96;1;31,18;28,74;0,18;490;91,59;36,1;3667,1
97;1;31,03;28,90;0,22;495;91,50;43,9;1561,6
98;1;30,90;29,12;0,26;500;91,40;51,1;1448,9
99;1;30,79;29,36;0,26;505;91,50;52,8;338,8
100;1;30,72;29,60;0,25;510;91,59;50,0;-560,3
101;1;30,69;29,86;0,26;515;91,69;52,3;469,0
102;1;30,72;30,11;0,25;520;91,40;50,4;-397,3
103;1;30,80;30,36;0,26;525;91,40;52,5;427,8
104;1;30,92;30,59;0,26;530;91,30;51,9;-122,6
105;1;31,06;30,79;0,24;535;91,30;48,8;-611,7
106;1;31,22;30,97;0,24;540;91,50;48,2;-132,0
107;1;31,40;31,11;0,23;545;91,50;45,6;-511,9
108;1;31,60;31,21;0,22;550;91,59;44,7;-177,1
109;1;31,79;31,26;0,20;555;91,89;39,3;-1085,5
110;1;31,99;31,27;0,20;560;91,89;40,0;151,2
111;1;32,18;31,24;0,19;565;92,08;38,5;-315,8
112;1;32,37;31,19;0,20;570;92,38;39,3;164,6
113;1;32,55;31,14;0,19;575;92,38;37,4;-386,1
114;1;32,71;31,11;0,16;580;92,57;32,6;-961,1
